0.091086	-0.054103  -1.11918 -0.175021   -2.1611  -0.23552  0.697217  -0.06716	 0.0614229 -0.0951089   0.632859	-3.63636 -1.38502 0.157841
0.0920542	-0.055675   -1.1252 -0.178611  -2.16028 -0.239345  0.689737  -0.06754	 0.0577848 -0.0964931   0.633013	 -3.6393 -1.38331 0.149263
0.093083	-0.057269  -1.13122 -0.182237  -2.15941 -0.243179  0.682356 -0.067902	 0.0541443 -0.0978754   0.633158	-3.64176 -1.38154 0.140542
0.0940832	-0.058885  -1.13724   -0.1859  -2.15848 -0.247022  0.675078 -0.068245	 0.0505016 -0.0992563   0.633294	-3.64375  -1.3797 0.131678
0.0951051	-0.060523  -1.14325 -0.189599  -2.15748 -0.250871  0.667903  -0.06857	0.0468572 -0.100635  0.633421	-3.64528 -1.37782 0.122683
0.096111	-0.062184  -1.14926 -0.193334  -2.15642 -0.254728  0.660834 -0.068876	0.0432113 -0.102012  0.633539	-3.64636 -1.37588 0.113562
0.0971057	-0.063865  -1.15527 -0.197104  -2.15529  -0.25859  0.653872 -0.069164	0.0395648 -0.103387  0.633648	-3.64699 -1.37391 0.104328
0.0980995	-0.065568  -1.16127 -0.200911   -2.1541 -0.262457   0.64702 -0.069434	0.0359173  -0.10476  0.633748	 -3.64719   -1.3719 0.0949778
0.0991027	-0.067292  -1.16726 -0.204752  -2.15283 -0.266329   0.64028 -0.069685	0.0322703  -0.10613  0.633838	 -3.64696  -1.36987 0.0855335
0.100101	-0.069036  -1.17324 -0.208628   -2.1515 -0.270205  0.633653 -0.069919	0.0286239 -0.107499  0.633919	 -3.64631  -1.36782 0.0760007
0.1011	  -0.0708  -1.17921 -0.212539  -2.15009 -0.274082  0.627141 -0.070134	0.0249781 -0.108866   0.63399	 -3.64525  -1.36576 0.0663801
0.102102	-0.072584  -1.18516 -0.216485  -2.14861 -0.277962  0.620747 -0.070332	0.0213333 -0.110231  0.634051	 -3.64378  -1.36369 0.0566831
0.103104	-0.074387   -1.1911 -0.220464  -2.14705 -0.281842  0.614472 -0.070512	0.0176907 -0.111593  0.634103	-3.64192 -1.36162 0.046926
0.1041	-0.076209  -1.19702 -0.224476  -2.14542 -0.285723  0.608317 -0.070675	0.0140499 -0.112954  0.634145	 -3.63968  -1.35955 0.0371129
0.105087	-0.078049  -1.20292 -0.228522  -2.14371 -0.289602  0.602285 -0.070819	0.0104115 -0.114313  0.634178	 -3.63705   -1.3575 0.0272511
0.10609	-0.079907   -1.2088   -0.2326  -2.14191 -0.293478  0.596378 -0.070947	0.00677593  -0.115669     0.6342	 -3.63406  -1.35546 0.0173515
0.107089	-0.081783  -1.21466 -0.236711  -2.14004 -0.297352  0.590597 -0.071058	0.00314359  -0.117023   0.634212	   -3.6307   -1.35344 0.00742599
0.108078	-0.083675  -1.22049 -0.240853  -2.13808 -0.301221  0.584943 -0.071151	-0.000485453    -0.118376     0.634215	   -3.62698    -1.35145 -0.00251923
0.109079	-0.085584   -1.2263 -0.245026  -2.13604 -0.305085   0.57942 -0.071228	-0.00411015   -0.119726    0.634207	 -3.62291  -1.34949 -0.012468
0.110077	-0.087509  -1.23208  -0.24923  -2.13392 -0.308943  0.574027 -0.071289	-0.00773099   -0.121075     0.63419	  -3.61851   -1.34756 -0.0224169
0.111101	-0.089449  -1.23784 -0.253463   -2.1317 -0.312793  0.568767 -0.071333	-0.0113471  -0.122421   0.634163	  -3.61377   -1.34567 -0.0323513
0.112079	-0.091404  -1.24356 -0.257726   -2.1294 -0.316634  0.563641 -0.071361	-0.0149583  -0.123766   0.634125	  -3.60871   -1.34382 -0.0422626
0.113099	-0.093373  -1.24925 -0.262017  -2.12701 -0.320465  0.558651 -0.071374	-0.0185643  -0.125109   0.634078	  -3.60333   -1.34203 -0.0521399
0.114115	-0.095355  -1.25491 -0.266336  -2.12453 -0.324286  0.553798 -0.071371	-0.0221648   -0.12645   0.634021	  -3.59764   -1.34028 -0.0619741
0.115116	-0.097351  -1.26053 -0.270682  -2.12197 -0.328094  0.549084 -0.071352	-0.0257594  -0.127789   0.633954	  -3.59166   -1.33859 -0.0717498
0.116103	-0.099359  -1.26612 -0.275055  -2.11931 -0.331889   0.54451 -0.071319	-0.029348 -0.129127  0.633878	  -3.58537   -1.33695 -0.0814637
0.117102	-0.101378  -1.27167 -0.279454  -2.11655 -0.335669  0.540077 -0.071272	-0.0329304  -0.130464   0.633792	 -3.57881  -1.33538 -0.091104
0.118102	-0.103408  -1.27718 -0.283877  -2.11371 -0.339433  0.535788  -0.07121	-0.0365053  -0.131798   0.633696	 -3.57196  -1.33387 -0.100649
0.119105	-0.105449  -1.28265 -0.288325  -2.11076 -0.343179  0.531642 -0.071134	-0.0400737  -0.133131    0.63359	 -3.56485  -1.33242 -0.110101
0.120101	  -0.1075  -1.28808 -0.292795  -2.10773 -0.346908  0.527641 -0.071044	-0.0436351  -0.134463   0.633475	 -3.55747  -1.33105 -0.119444
0.12108	-0.109559  -1.29347 -0.297288   -2.1046 -0.350616  0.523787 -0.070941	-0.0471886  -0.135793   0.633352	 -3.54984  -1.32974 -0.128666
0.122074	-0.111626   -1.2988 -0.301803  -2.10137 -0.354304   0.52008 -0.070826	-0.0507344  -0.137122   0.633218	 -3.54197  -1.32851 -0.137758
0.123075	-0.113701   -1.3041 -0.306339  -2.09805 -0.357969  0.516521 -0.070697	-0.0542724   -0.13845   0.633076	 -3.53386  -1.32736 -0.146711
0.124075	-0.115783  -1.30935 -0.310894  -2.09463 -0.361611  0.513112 -0.070557	-0.0578022  -0.139777   0.632925	 -3.52553  -1.32627 -0.155512
0.125075	-0.117871  -1.31455 -0.315468  -2.09111 -0.365228  0.509854 -0.070405	-0.0613234  -0.141103   0.632765	-3.51698 -1.32527 -0.16415
0.126054	-0.119963   -1.3197 -0.320059   -2.0875 -0.368819  0.506747 -0.070241	-0.0648357  -0.142428   0.632597	 -3.50822  -1.32435 -0.172615
0.127082	-0.122061   -1.3248 -0.324668  -2.08378 -0.372382  0.503791 -0.070067	-0.0683397  -0.143751    0.63242	-3.49925  -1.3235  -0.1809
0.128084	-0.124162  -1.32984 -0.329293  -2.07997 -0.375917  0.500989 -0.069882	-0.0718342  -0.145075   0.632235	  -3.4901  -1.32274 -0.188991
0.129071	-0.126266  -1.33484 -0.333932  -2.07606 -0.379422   0.49834 -0.069687	-0.0753197  -0.146397   0.632042	 -3.48076  -1.32205 -0.196881
0.130104	-0.128372  -1.33978 -0.338586  -2.07206 -0.382895  0.495846 -0.069482	-0.0787956  -0.147719   0.631841	 -3.47126  -1.32145 -0.204559
0.131103	 -0.13048  -1.34467 -0.343252  -2.06795 -0.386336  0.493506 -0.069269	-0.0822619   -0.14904   0.631633	 -3.46158  -1.32093 -0.212013
0.132102	-0.132588   -1.3495 -0.347931  -2.06375 -0.389744  0.491321 -0.069046	-0.085719  -0.15036  0.631417	 -3.45176  -1.32048 -0.219244
0.133102	-0.134695  -1.35427  -0.35262  -2.05945 -0.393116  0.489292 -0.068815	-0.0891656  -0.151681   0.631195	 -3.44179  -1.32012 -0.226232
0.134101	-0.136802  -1.35899 -0.357319  -2.05505 -0.396453  0.487419 -0.068575	-0.0926023  -0.153001   0.630965	 -3.43169  -1.31983 -0.232972
0.135101	-0.138907  -1.36364 -0.362027  -2.05056 -0.399752  0.485703 -0.068329	-0.0960288   -0.15432   0.630729	 -3.42146  -1.31962 -0.239456
0.136102	-0.141009  -1.36824 -0.366743  -2.04597 -0.403012  0.484143 -0.068075	-0.0994452   -0.15564   0.630486	 -3.41112  -1.31949 -0.245681
0.137112	-0.143108  -1.37278 -0.371465  -2.04128 -0.406233   0.48274 -0.067815	-0.102851 -0.156959  0.630238	 -3.40068  -1.31943 -0.251633
